Year,Annual COâ‚‚ emissions,Annual Temperature Anomaly
1880,6414508198.0,-.17
1881,6626904710.798,-.09
1882,6971847149.936,-.11
1883,7406640116.0,-.17
1884,7467142153.0002,-.28
1885,7517452480.0102005,-.33
1886,7611604653.0105,-.31
1887,7976660945.51,-.36
1888,8762733743.0,-.17
1889,8837900152.2,-.10
1890,9550373043.5,-.35
1891,9983399669.0,-.22
1892,10020499036.01,-.27
1893,9872857743.56,-.31
1894,10305778254.5,-.30
1895,10863118926.0,-.22
1896,11246147281.0,-.11
1897,11784413059.0,-.11
1898,12385107842.94,-.27
1899,13469769296.7,-.17
1900,14178435569.93,-.08
1901,14553225270.119999,-.15
1902,14863207790.09,-.28
1903,16084679732.029999,-.37
1904,16295480055.0,-.47
1905,17258427539.57,-.26
1906,17993256996.98,-.22
1907,20420335321.0,-.38
1908,19802634347.3,-.42
1909,20490575997.84,-.48
1910,21399911241.0,-.43
1911,21762396294.93,-.44
1912,22831127359.98,-.36
1913,24745316995.03,-.34
1914,22393292050.2,-.15
1915,21948673476.88,-.13
1916,23617782456.13,-.35
1917,24516218520.86,-.45
1918,23961501913.44,-.29
1919,20762065678.3,-.27
1920,24137758150.59,-.27
1921,21314203148.064,-.19
1922,22497871951.48,-.28
1923,25009818562.06,-.26
1924,25477170097.8,-.27
1925,25679560312.1,-.22
1926,24850372289.8,-.11
1927,27592949651.0,-.22
1928,27509662711.6,-.20
1929,29561214919.208,-.36
1930,27361094444.97,-.16
1931,24588576416.71,-.09
1932,22281040863.04,-.16
1933,23399910633.97,-.29
1934,25483959441.2,-.13
1935,26754321326.94,-.20
1936,29231675015.85,-.15
1937,31317891632.2,-.03
1938,29739050479.548,.00
1939,31322371347.802002,-.02
1940,34099703886.82,.12
1941,34579207995.0,.18
1942,34180660697.63,.06
1943,34712578724.998,.09
1944,34952908502.1005,.20
1945,28399421974.7,.09
1946,31599396437.5,-.07
1947,35167728976.004,-.03
1948,37163631525.9,-.11
1949,36025827484.29,-.11
1950,40292497247.17,-.17
1951,43446360629.834,-.07
1952,44133579581.2,.01
1953,45395839179.68,.08
1954,46613042655.88,-.13
1955,51024612894.61,-.14
1956,54356419438.09,-.19
1957,56167927061.65,.05
1958,57726625060.2,.06
1959,60534275294.12,.03
1960,64213591201.16,-.03
1961,64650168452.2,.06
1962,67124191631.3,.03
1963,70809191075.02,.05
1964,74628807180.05,-.20
1965,77892570421.1,-.11
1966,81547024302.8,-.06
1967,84078071069.2,-.02
1968,88658219612.62,-.08
1969,94499761416.5,.05
1970,102053732767.52,.03
1971,106208915254.59,-.08
1972,110993892780.71,.01
1973,116828081237.05,.16
1974,116620361710.0,-.07
1975,117119690506.48,-.01
1976,123723801051.42,-.10
1977,126982439012.97,.18
1978,130895742005.73999,.07
1979,134658436523.92,.16
1980,134028404036.0,.26
1981,130774152013.98001,.32
1982,129917151102.906,.14
1983,130738055148.756,.31
1984,134909063656.7,.16
1985,139622052525.98,.12
1986,141422507578.1,.18
1987,144860547316.46802,.32
1988,150134678191.848,.39
1989,151956289084.82,.27
1990,154811924005.034,.45
1991,157735428665.72,.40
1992,152130357048.0,.22
1993,153050724114.41,.23
1994,153807587654.89,.31
1995,156583347013.15,.44
1996,160990201938.2,.33
1997,161436819454.73,.46
1998,160737445994.99,.61
1999,163714991839.14,.38
2000,167972614115.0,.39
2001,169372634367.23,.53
2002,172799901024.53,.63
2003,181647397337.04,.62
2004,187467367632.06,.53
2005,193289331285.9,.68
2006,199521247047.88,.64
2007,204710392798.93,.66
2008,207879923202.56,.54
2009,203698611726.65,.65
2010,215151806350.84,.72
2011,221924555252.41998,.61
2012,225160404851.13,.65
2013,226555342750.4,.68
2014,227582201253.43,.75
2015,227612881945.5,.90
2016,227618086291.96,1.02
2017,231066766707.84,.92
2018,235455956283.38,.85
2019,236804778928.57,.98
2020,224973706457.61,1.01
2021,236484703554.22,.85
2022,237679815499.6,.89
